id,A,B,C,D,E,F,G,H,I,J
TEST_00216,0,1,1,0,1,0,0,0,0,1
TEST_00217,0,1,1,0,0,1,0,1,0,0
TEST_00218,1,0,0,0,1,1,0,0,1,1
TEST_00219,0,1,0,0,0,1,1,1,0,0
TEST_00220,1,0,0,0,1,1,0,0,0,0
TEST_00221,0,1,0,0,0,0,0,0,1,0
TEST_00222,1,1,0,1,1,0,0,1,1,0
TEST_00223,1,0,0,0,1,1,0,1,1,0
TEST_00224,1,0,0,1,1,0,1,1,1,0
TEST_00225,1,1,1,0,0,1,0,1,1,0
TEST_00226,1,1,1,1,0,1,1,0,1,0
TEST_00227,0,0,1,0,0,1,0,1,1,0
TEST_00228,1,0,1,1,0,1,0,0,0,0
TEST_00229,1,0,0,1,0,1,0,0,0,1
TEST_00230,0,0,0,0,1,0,0,1,1,0
TEST_00231,0,1,0,0,0,0,1,1,1,1
TEST_00232,0,1,0,1,0,0,0,0,0,1
TEST_00233,1,0,1,0,1,1,1,1,0,0
TEST_00234,0,1,0,1,1,1,0,0,0,0
TEST_00235,1,0,1,0,1,0,1,1,1,0
TEST_00236,0,1,1,0,0,1,1,0,0,1
TEST_00237,1,1,0,0,1,1,0,1,0,0
TEST_00238,1,0,0,0,0,0,0,0,1,1
TEST_00239,1,0,1,0,0,0,0,1,0,0
TEST_00240,0,0,0,0,1,1,1,1,0,1
TEST_00241,1,1,0,0,1,1,1,1,1,0
TEST_00242,1,0,1,0,1,0,1,0,0,1
TEST_00243,1,1,0,0,0,0,0,1,0,0
TEST_00244,1,1,1,0,1,1,1,1,0,0
TEST_00245,1,0,0,0,1,1,1,1,0,0
TEST_00246,1,0,1,1,0,0,1,0,1,0
TEST_00247,0,0,1,0,0,0,0,1,1,1
TEST_00248,0,1,0,1,0,1,0,1,0,1
TEST_00249,1,1,0,1,0,0,0,0,1,0
TEST_00250,0,0,1,1,1,1,1,0,1,1
TEST_00251,0,1,0,0,0,0,0,0,1,0
TEST_00252,0,1,0,0,0,0,0,0,0,1
TEST_00253,1,0,1,1,0,0,0,0,1,0
TEST_00254,1,0,1,0,1,0,1,1,0,0
TEST_00255,1,0,0,1,0,1,1,1,1,1
TEST_00256,1,0,1,1,1,0,0,0,1,1
TEST_00257,1,1,0,0,0,0,0,0,0,0
TEST_00258,1,0,1,1,1,0,1,0,1,0
TEST_00259,0,1,0,0,1,0,1,1,1,1
TEST_00260,0,0,0,0,0,1,1,0,0,0
TEST_00261,0,0,0,0,0,1,0,1,0,1
TEST_00262,1,0,0,0,1,1,0,1,1,0
TEST_00263,0,0,1,1,0,0,0,0,1,0
TEST_00264,0,1,1,0,0,0,0,1,0,0
TEST_00265,0,1,0,0,0,0,0,0,0,1
TEST_00266,0,0,1,1,1,0,1,0,1,0
TEST_00267,1,1,0,0,1,0,0,0,1,1
TEST_00268,1,0,1,1,0,0,0,1,0,1
TEST_00269,1,0,0,1,0,0,0,0,0,1
TEST_00270,1,0,0,1,1,0,1,0,0,0
TEST_00271,0,0,1,1,0,1,1,1,0,0
TEST_00272,0,0,1,0,0,0,0,0,0,0
TEST_00273,0,0,0,1,0,0,0,1,0,1
TEST_00274,1,0,1,1,0,0,0,1,0,1
TEST_00275,1,0,0,1,0,1,0,1,0,0
TEST_00276,0,0,1,1,0,1,1,1,1,0
TEST_00277,1,1,0,0,0,1,1,1,1,0
TEST_00278,1,0,1,1,0,0,0,0,0,0
TEST_00279,1,1,1,1,1,0,0,0,1,0
TEST_00280,0,1,0,1,0,1,1,1,1,0
TEST_00281,1,1,1,1,0,0,1,0,1,1
TEST_00282,0,1,1,0,1,1,1,1,1,0
TEST_00283,1,0,0,0,1,0,0,1,0,0
TEST_00284,0,0,1,0,0,0,0,0,1,0
TEST_00285,0,0,0,0,0,0,0,0,0,1
TEST_00286,1,1,1,0,0,0,0,0,0,1
TEST_00287,0,1,0,0,1,0,0,0,0,0
TEST_00288,0,1,1,0,1,0,1,1,0,1
TEST_00289,0,1,0,1,0,1,1,1,0,0
TEST_00290,1,0,1,0,1,0,0,1,1,1
TEST_00291,0,1,1,1,1,1,0,1,1,0
TEST_00292,0,1,1,0,1,0,1,1,0,1
TEST_00293,0,1,1,1,1,0,0,1,0,0
TEST_00294,0,0,0,0,0,1,0,1,1,0
TEST_00295,0,1,1,1,0,0,0,0,0,0
TEST_00296,1,1,0,0,1,1,0,0,0,0
TEST_00297,0,1,0,1,0,0,0,1,0,0
TEST_00298,1,0,1,0,0,0,1,0,1,0
TEST_00299,1,0,1,0,1,0,0,0,1,0
TEST_00300,1,0,1,0,1,1,0,1,1,0
TEST_00301,1,0,0,1,0,1,0,0,1,0
TEST_00302,0,0,0,0,0,1,0,0,0,1
TEST_00303,0,0,1,1,0,0,0,0,0,0
TEST_00304,1,0,1,1,0,1,0,1,0,1
TEST_00305,1,1,1,0,1,0,0,1,1,1
TEST_00306,0,1,0,1,1,0,0,0,1,0
TEST_00307,0,0,0,0,1,1,0,0,0,0
TEST_00308,1,1,0,0,0,1,1,1,1,0
TEST_00309,1,1,1,1,1,0,0,1,1,1
TEST_00310,0,0,0,0,0,1,1,0,1,0
TEST_00311,0,0,1,1,0,0,1,0,1,1
TEST_00312,1,1,0,1,1,1,0,0,0,0
TEST_00313,0,0,1,0,0,0,0,0,1,0
TEST_00314,0,0,0,1,0,1,0,1,0,1
TEST_00315,1,1,0,1,1,0,1,1,0,1
TEST_00316,1,1,0,1,1,0,0,1,1,0
TEST_00317,0,0,1,0,1,0,1,1,1,0
TEST_00318,1,1,1,1,0,1,0,0,1,1
TEST_00319,1,0,1,1,1,0,0,0,0,0
TEST_00320,0,0,0,0,0,0,1,0,0,1
TEST_00321,0,1,1,0,1,1,0,0,0,0
TEST_00322,1,1,0,0,1,0,1,1,1,0
TEST_00323,1,1,1,1,0,0,0,1,1,0
TEST_00324,0,1,0,0,1,1,1,1,0,1
TEST_00325,1,0,0,1,0,1,0,0,0,0
TEST_00326,0,0,1,0,0,0,0,0,0,0
TEST_00327,0,0,1,1,0,1,0,1,0,1
TEST_00328,0,1,0,1,0,0,0,0,0,1
TEST_00329,0,0,0,0,0,1,0,0,0,0
TEST_00330,1,0,1,0,1,1,1,1,0,0
TEST_00331,1,1,0,1,1,0,1,1,1,0
TEST_00332,0,1,0,1,0,0,1,1,0,1
TEST_00333,0,1,0,0,0,0,0,0,0,0
TEST_00334,1,1,1,0,0,1,1,0,0,1
TEST_00335,0,0,0,0,0,0,0,1,1,1
TEST_00336,0,0,1,0,0,1,1,0,0,1
TEST_00337,1,0,0,1,0,1,1,0,1,1
TEST_00338,0,0,1,0,0,0,0,1,0,0
TEST_00339,0,1,0,1,0,1,0,0,0,0
TEST_00340,1,0,1,1,0,1,0,0,0,1
TEST_00341,0,0,0,0,0,0,0,0,1,1
TEST_00342,0,1,0,0,0,0,1,1,0,0
TEST_00343,0,0,1,1,0,0,0,0,1,0
TEST_00344,0,0,1,1,0,0,0,0,1,0
TEST_00345,1,1,1,0,0,1,1,0,0,1
TEST_00346,0,0,0,0,1,0,0,0,0,0
TEST_00347,0,1,0,1,0,1,0,1,1,1
TEST_00348,1,0,1,0,0,0,0,0,0,1
TEST_00349,1,1,1,0,1,1,1,0,1,0
TEST_00350,0,1,1,0,1,1,1,1,0,0
TEST_00351,0,0,1,0,0,0,1,0,0,0
TEST_00352,1,1,0,1,1,0,0,0,1,0
TEST_00353,1,0,1,0,0,0,0,1,1,1
TEST_00354,1,1,0,1,0,0,1,1,0,1
TEST_00355,1,0,0,1,1,1,1,1,0,1
TEST_00356,1,1,0,0,1,1,1,0,0,1
TEST_00357,1,0,0,1,1,0,0,1,0,0
TEST_00358,1,0,0,1,1,0,0,1,1,0
TEST_00359,0,0,0,1,1,0,0,0,0,1
TEST_00360,1,1,0,1,0,1,0,1,1,1
TEST_00361,1,0,0,0,0,1,1,0,0,0
TEST_00362,0,0,0,1,1,0,0,1,0,1
TEST_00363,0,0,0,0,0,0,0,1,1,0
TEST_00364,1,1,0,0,1,1,1,1,1,0
TEST_00365,0,0,0,1,1,0,0,1,1,1
TEST_00366,0,0,0,1,0,0,0,0,0,1
TEST_00367,1,1,1,0,1,1,0,1,0,1
TEST_00368,0,0,0,0,1,0,1,1,0,0
TEST_00369,1,0,0,0,0,0,1,1,1,0
TEST_00370,0,1,1,1,1,1,1,0,0,0
TEST_00371,1,1,0,0,0,0,1,0,1,0
TEST_00372,0,1,0,0,0,0,0,1,0,1
TEST_00373,1,0,0,0,1,1,0,0,0,0
TEST_00374,0,0,0,0,1,0,1,0,1,0
TEST_00375,0,1,1,1,1,0,1,1,1,0
TEST_00376,1,0,0,1,1,1,0,1,1,0
TEST_00377,0,1,1,1,1,0,0,0,0,0
TEST_00378,0,1,0,0,1,0,0,0,1,1
TEST_00379,0,0,1,1,1,0,1,0,1,0
TEST_00380,0,0,1,1,0,1,1,1,1,0
TEST_00381,1,0,1,1,0,0,1,1,0,1
TEST_00382,1,0,0,1,1,0,1,1,0,0
TEST_00383,0,1,0,0,0,0,0,0,0,0
TEST_00384,1,1,1,0,1,1,1,0,0,0
TEST_00385,0,0,0,0,1,1,0,0,0,1
TEST_00386,1,0,1,0,1,0,0,0,0,0
TEST_00387,0,1,0,1,0,0,0,1,0,0
TEST_00388,1,0,0,1,0,1,1,1,0,0
TEST_00389,0,0,0,0,0,0,1,1,0,0
TEST_00390,0,0,0,1,1,0,0,0,0,1
TEST_00391,0,1,0,0,1,0,1,1,1,1
TEST_00392,0,0,1,0,1,0,1,1,0,0
TEST_00393,0,0,0,0,0,0,0,1,0,1
TEST_00394,0,1,0,0,0,0,0,0,1,1
TEST_00395,1,0,1,0,1,1,0,0,0,0
TEST_00396,1,0,0,0,0,1,1,0,0,0
TEST_00397,1,0,0,0,0,0,0,1,0,1
TEST_00398,0,1,0,1,0,0,0,0,0,1
TEST_00399,1,0,0,1,1,0,1,0,0,0
TEST_00400,0,0,0,0,1,0,0,1,1,0
TEST_00401,1,0,0,0,0,1,1,0,1,1
TEST_00402,1,0,1,0,1,1,1,1,0,1
TEST_00403,1,1,0,0,0,1,0,0,1,0
TEST_00404,0,1,1,1,1,1,0,1,1,0
TEST_00405,0,1,0,0,0,0,0,0,0,0
TEST_00406,1,0,0,0,1,0,0,0,1,1
TEST_00407,0,1,1,0,1,1,1,0,1,0
TEST_00408,1,0,1,0,0,0,1,0,0,1
TEST_00409,0,0,1,0,1,1,0,1,1,0
TEST_00410,1,0,1,0,0,1,1,0,0,1
TEST_00411,0,0,1,0,0,0,0,1,1,1
TEST_00412,1,1,1,0,1,1,1,0,1,1
TEST_00413,0,0,0,1,0,1,0,0,0,0
TEST_00414,1,0,1,0,0,1,1,0,0,0
TEST_00415,1,1,1,1,1,1,0,0,0,1
TEST_00416,0,0,1,1,1,0,1,0,0,0
TEST_00417,1,1,0,1,0,0,1,1,1,0
TEST_00418,0,0,0,0,1,0,0,1,1,0
TEST_00419,0,0,1,0,1,1,0,1,1,1
TEST_00420,0,0,1,0,1,0,0,0,0,0
TEST_00421,0,1,0,0,1,1,0,0,0,1
TEST_00422,1,0,0,1,0,0,1,0,0,0
TEST_00423,1,0,1,1,1,1,0,0,1,0
TEST_00424,1,0,1,0,1,1,1,1,0,0
TEST_00425,0,1,1,1,0,0,1,0,1,1
TEST_00426,1,1,0,0,0,0,1,1,0,0
TEST_00427,0,0,1,0,1,0,0,0,0,1
TEST_00428,0,1,0,0,0,1,0,0,1,1
TEST_00429,1,0,0,1,0,1,0,0,0,1
TEST_00430,0,0,1,0,0,0,1,1,1,0
TEST_00431,0,0,1,0,0,0,1,0,1,1
TEST_00432,0,0,1,0,0,1,1,0,1,1
TEST_00433,1,1,1,1,1,1,0,0,0,0
TEST_00434,0,0,1,1,1,1,0,1,0,1
TEST_00435,1,0,0,0,1,0,0,0,1,0
TEST_00436,0,1,0,0,1,0,0,0,0,0
TEST_00437,1,1,1,0,1,1,1,0,0,0
TEST_00438,0,1,0,1,0,0,0,1,0,0
TEST_00439,0,0,1,0,0,0,1,1,0,0
TEST_00440,1,0,1,1,0,1,0,1,0,0
TEST_00441,0,1,0,0,0,0,1,1,0,0
TEST_00442,1,1,0,0,1,0,0,0,1,0
TEST_00443,0,0,0,1,1,0,0,1,0,0
TEST_00444,1,1,0,1,1,0,0,1,1,0
TEST_00445,0,1,1,0,0,0,0,0,0,1
TEST_00446,0,0,1,0,0,1,0,0,0,1
TEST_00447,0,1,1,1,1,0,1,0,0,1
TEST_00448,0,0,1,0,0,1,0,0,0,0
TEST_00449,0,0,0,0,1,0,0,0,1,1
TEST_00450,1,0,1,0,0,1,1,1,0,0
TEST_00451,1,1,0,0,1,1,1,0,0,1
TEST_00452,0,1,0,1,1,0,1,0,1,0
TEST_00453,1,0,0,1,0,1,0,0,1,1
TEST_00454,0,0,1,0,0,0,1,1,1,0
TEST_00455,0,1,0,1,0,0,0,0,0,1
TEST_00456,0,0,1,1,0,0,1,1,0,1
TEST_00457,0,1,0,0,0,1,0,0,0,0
TEST_00458,0,0,0,0,0,1,0,0,0,1
TEST_00459,0,1,1,0,1,0,1,0,1,1
TEST_00460,1,0,1,0,0,1,1,1,1,0
TEST_00461,0,0,1,0,0,0,0,1,0,0
TEST_00462,0,0,1,0,1,0,1,1,0,0
TEST_00463,1,1,0,1,1,1,1,0,1,0
TEST_00464,1,0,0,1,0,0,0,1,1,0
TEST_00465,1,0,0,0,1,1,1,1,1,0
TEST_00466,0,0,1,1,0,0,0,1,0,1
TEST_00467,1,1,0,0,0,1,1,1,0,0
TEST_00468,1,0,0,0,0,0,1,0,0,1
TEST_00469,0,1,0,1,0,0,0,1,1,1
TEST_00470,0,0,1,1,0,0,0,1,0,1
TEST_00471,1,1,0,1,0,0,0,1,1,0
TEST_00472,0,0,1,0,1,1,0,1,0,0
TEST_00473,0,0,0,1,1,0,0,1,0,1
TEST_00474,1,1,0,0,0,0,1,0,1,0
TEST_00475,1,0,1,1,0,1,0,0,1,0
TEST_00476,1,0,1,0,1,1,0,0,0,0
TEST_00477,0,1,0,0,1,0,1,0,0,0
TEST_00478,0,0,1,0,1,1,0,1,1,0
TEST_00479,1,1,1,1,1,1,0,0,0,0
TEST_00480,0,1,0,0,0,1,0,0,0,0
TEST_00481,1,0,1,1,0,1,1,0,1,0
TEST_00482,0,0,0,0,1,0,0,1,0,0
TEST_00483,0,0,0,0,1,0,0,0,0,0
TEST_00484,0,1,1,1,0,1,1,0,1,1
TEST_00485,0,1,1,0,1,1,0,0,0,1
TEST_00486,0,1,0,0,0,0,0,1,0,1
TEST_00487,1,1,0,1,1,0,0,1,1,0
TEST_00488,0,1,0,0,0,1,0,0,1,1
TEST_00489,0,1,1,1,1,0,0,0,1,0
TEST_00490,0,1,1,0,1,1,0,1,1,0
TEST_00491,1,0,0,1,0,1,0,0,0,0
TEST_00492,1,1,0,0,0,0,1,1,1,1
TEST_00493,0,1,0,0,1,0,0,1,1,0
TEST_00494,1,1,0,1,0,0,0,0,1,0
TEST_00495,0,0,0,1,0,1,1,0,1,0
TEST_00496,0,0,1,1,1,0,0,1,1,1
TEST_00497,0,0,0,0,0,0,1,0,1,1
TEST_00498,0,0,0,1,0,1,0,1,1,1
TEST_00499,1,1,0,1,0,1,1,1,1,0
TEST_00500,0,1,1,1,0,0,0,0,0,1
TEST_00501,1,1,1,0,1,1,0,0,0,0
TEST_00502,1,0,1,0,1,0,1,1,1,0
TEST_00503,0,1,1,0,0,0,1,1,0,0
TEST_00504,0,1,0,1,0,0,1,0,0,0
TEST_00505,0,1,0,0,1,0,1,0,0,0
TEST_00506,1,0,0,1,0,0,1,1,0,0
TEST_00507,0,1,0,1,0,1,0,0,0,0
TEST_00508,1,0,1,0,0,1,1,1,0,0
TEST_00509,0,0,1,0,1,0,0,0,0,0
TEST_00510,0,1,1,1,0,0,0,1,1,0
TEST_00511,1,1,0,1,0,0,1,1,1,0
TEST_00512,0,1,0,0,0,1,0,0,0,1
TEST_00513,1,1,1,1,0,1,0,1,0,0
TEST_00514,0,0,0,1,0,1,0,1,0,0
TEST_00515,1,1,0,1,0,1,0,1,0,1
