id,A,B,C,D,E,F,G,H,I,J
TEST_00054,0,1,1,0,0,0,1,0,0,1
TEST_00055,0,0,1,1,0,1,1,0,0,1
TEST_00056,0,0,0,0,1,0,0,1,0,0
TEST_00057,1,1,1,0,1,0,0,1,1,1
TEST_00058,1,1,1,0,1,0,0,1,1,0
TEST_00059,0,1,0,1,0,0,0,0,0,0
TEST_00060,1,0,1,1,1,1,1,1,1,0
TEST_00061,1,1,0,1,0,1,0,0,0,1
TEST_00062,0,0,1,1,1,0,0,0,0,0
TEST_00063,0,1,0,0,1,1,1,0,0,0
TEST_00064,0,1,0,1,0,0,0,0,1,0
TEST_00065,0,0,1,0,1,0,0,0,0,0
TEST_00066,0,1,1,0,1,0,0,1,1,0
TEST_00067,1,0,1,0,1,0,1,1,0,0
TEST_00068,0,1,0,1,1,1,0,0,1,0
TEST_00069,0,0,1,0,0,1,0,0,0,1
TEST_00070,1,0,0,1,0,0,0,0,0,0
TEST_00071,0,1,0,0,0,0,0,0,1,0
TEST_00072,1,0,0,0,0,0,1,1,1,0
TEST_00073,0,0,0,1,0,1,1,0,0,1
TEST_00074,0,1,1,0,1,0,0,0,0,1
TEST_00075,0,1,0,0,0,1,1,0,0,1
TEST_00076,0,1,0,1,0,1,0,1,0,1
TEST_00077,1,0,0,0,0,1,1,1,1,1
TEST_00078,0,0,1,0,0,0,1,0,1,0
TEST_00079,0,1,1,0,1,0,1,0,0,0
TEST_00080,0,0,1,1,1,0,0,0,1,1
TEST_00081,0,1,0,0,0,0,0,0,0,1
TEST_00082,1,0,0,1,0,0,0,1,0,0
TEST_00083,1,0,1,1,1,0,0,0,0,0
TEST_00084,1,0,0,0,0,0,0,0,0,0
TEST_00085,1,0,1,1,0,1,0,0,0,0
TEST_00086,1,1,1,0,1,0,0,0,1,1
TEST_00087,0,0,0,0,1,1,1,0,0,0
TEST_00088,1,1,0,1,0,1,0,0,1,1
TEST_00089,1,1,0,0,1,1,1,1,1,1
TEST_00090,1,0,1,0,1,0,0,0,0,1
TEST_00091,0,0,0,0,0,0,0,0,0,0
TEST_00092,0,1,0,0,0,0,1,0,0,1
TEST_00093,0,1,0,0,1,0,0,0,1,0
TEST_00094,1,1,1,0,1,1,0,1,1,1
TEST_00095,0,1,1,0,1,1,1,0,0,1
TEST_00096,0,0,0,0,1,1,0,1,1,0
TEST_00097,0,1,1,1,0,1,0,0,1,1
TEST_00098,0,1,1,1,1,0,0,0,1,1
TEST_00099,0,0,0,0,1,0,0,0,0,1
TEST_00100,0,1,1,0,1,0,1,0,1,0
TEST_00101,0,1,1,1,1,1,0,1,1,1
TEST_00102,1,0,1,0,1,1,1,0,0,0
TEST_00103,0,0,0,1,1,1,0,0,0,0
TEST_00104,1,0,1,0,1,0,0,0,1,1
TEST_00105,0,0,0,1,1,1,0,1,0,1
TEST_00106,1,1,1,0,1,0,1,1,1,0
TEST_00107,0,1,1,1,1,0,0,1,0,1
TEST_00108,0,1,1,1,1,0,1,1,1,0
TEST_00109,1,0,0,0,1,1,1,0,0,0
TEST_00110,0,1,0,1,1,0,1,1,1,0
TEST_00111,1,0,1,1,0,0,0,0,1,0
TEST_00112,1,1,1,1,0,0,0,1,1,0
TEST_00113,0,1,0,0,0,0,0,0,0,0
TEST_00114,0,1,0,0,0,1,0,0,0,0
TEST_00115,0,1,0,1,1,1,0,1,1,1
TEST_00116,1,0,0,1,1,0,0,1,0,1
TEST_00117,0,0,1,0,1,0,0,0,1,0
TEST_00118,0,0,0,1,0,0,0,1,0,0
TEST_00119,1,1,1,0,1,1,0,0,0,1
TEST_00120,1,0,0,0,0,1,0,1,0,0
TEST_00121,1,0,0,1,1,1,0,1,0,0
TEST_00122,0,0,1,0,0,0,0,0,0,1
TEST_00123,0,0,0,0,0,1,0,0,1,0
TEST_00124,0,0,1,1,0,0,1,0,0,0
TEST_00125,1,1,1,1,1,0,0,0,1,0
TEST_00126,1,1,0,0,1,0,0,0,0,1
TEST_00127,0,1,1,0,0,0,1,1,1,0
TEST_00128,0,0,0,0,0,0,0,1,1,0
TEST_00129,1,0,1,1,0,1,0,0,1,1
TEST_00130,0,0,0,0,0,1,0,0,0,0
TEST_00131,1,0,1,1,0,0,0,1,0,0
TEST_00132,1,0,0,0,0,0,0,1,1,0
TEST_00133,1,0,1,0,1,0,0,0,1,0
TEST_00134,0,1,0,0,1,0,0,1,1,0
TEST_00135,0,1,0,0,1,0,1,0,1,0
TEST_00136,0,1,1,0,0,0,0,1,1,0
TEST_00137,0,0,0,0,0,1,0,1,0,0
TEST_00138,0,1,1,0,0,0,0,0,1,0
TEST_00139,0,0,0,1,0,0,1,0,0,0
TEST_00140,1,0,0,1,1,0,0,0,1,0
TEST_00141,0,0,0,0,0,1,0,1,1,1
TEST_00142,0,0,0,0,0,1,0,1,0,0
TEST_00143,0,0,0,0,1,1,0,0,0,0
TEST_00144,0,0,0,0,1,0,1,0,0,0
TEST_00145,1,0,0,1,0,0,0,0,0,1
TEST_00146,1,0,1,0,0,0,0,1,0,0
TEST_00147,0,1,0,0,0,0,0,0,0,1
TEST_00148,0,1,0,0,0,0,0,1,1,0
TEST_00149,1,0,1,0,0,0,0,0,0,0
TEST_00150,0,0,1,1,0,0,0,1,0,0
TEST_00151,0,1,0,0,0,1,0,1,1,0
TEST_00152,1,1,0,0,0,0,1,1,0,0
TEST_00153,1,0,1,1,0,0,0,1,0,0
TEST_00154,0,0,1,0,1,0,1,1,0,1
TEST_00155,1,0,1,0,1,0,0,0,0,1
TEST_00156,1,0,1,0,1,0,0,0,1,1
TEST_00157,0,1,0,1,0,1,0,1,0,1
TEST_00158,1,1,1,0,1,0,1,1,1,1
TEST_00159,0,1,0,0,0,0,1,0,0,1
TEST_00160,0,1,1,1,0,0,0,0,0,0
TEST_00161,0,0,1,1,0,0,0,0,0,0
TEST_00162,0,0,1,0,0,0,0,0,0,0
TEST_00163,0,1,1,0,0,0,0,1,0,0
TEST_00164,0,1,1,1,0,0,0,1,0,0
TEST_00165,1,0,0,1,0,0,0,0,1,0
TEST_00166,0,1,0,0,1,1,0,1,0,0
TEST_00167,0,1,0,0,0,0,0,1,0,0
TEST_00168,0,0,0,1,1,0,0,0,0,0
TEST_00169,0,0,1,0,0,1,0,0,0,1
TEST_00170,0,0,0,1,0,1,0,1,1,1
TEST_00171,0,0,0,1,0,1,0,1,0,0
TEST_00172,0,1,0,0,0,0,0,0,1,0
TEST_00173,0,1,0,1,0,0,0,0,0,0
TEST_00174,0,0,0,1,0,0,1,0,0,0
TEST_00175,0,1,0,0,1,0,1,1,0,0
TEST_00176,0,0,0,0,1,0,0,0,0,1
TEST_00177,0,0,1,1,0,0,1,0,0,0
TEST_00178,0,1,1,1,1,0,1,0,0,0
TEST_00179,0,1,0,1,1,0,0,0,0,0
TEST_00180,1,1,1,1,0,0,0,0,1,0
TEST_00181,0,0,1,0,0,0,0,0,0,1
TEST_00182,0,0,0,1,0,1,0,1,1,0
TEST_00183,0,0,0,1,0,0,0,1,0,0
TEST_00184,1,0,0,0,0,1,1,0,0,1
TEST_00185,0,1,0,0,0,0,1,1,0,0
TEST_00186,0,1,1,0,1,1,0,0,0,1
TEST_00187,0,0,1,0,0,0,0,1,0,1
TEST_00188,1,0,0,1,0,0,0,0,0,0
TEST_00189,0,1,0,0,0,0,0,1,0,0
TEST_00190,0,1,0,1,1,0,0,0,0,0
TEST_00191,1,0,0,0,1,0,1,1,0,1
TEST_00192,1,0,0,1,1,0,0,1,1,0
TEST_00193,0,1,0,1,0,0,0,0,0,0
TEST_00194,1,0,1,0,0,0,0,0,0,0
TEST_00195,0,0,1,0,1,0,0,1,1,0
TEST_00196,0,0,1,0,1,1,0,1,0,0
TEST_00197,0,1,1,1,0,0,1,0,1,1
TEST_00198,1,1,0,0,0,0,0,0,0,1
TEST_00199,0,1,1,0,1,0,0,1,0,1
TEST_00200,1,1,0,1,1,1,0,1,0,1
TEST_00201,0,1,1,1,0,1,0,1,0,0
TEST_00202,1,1,0,1,0,0,0,1,1,0
TEST_00203,1,0,1,0,1,1,0,0,1,1
TEST_00204,0,1,0,1,0,0,0,1,1,0
TEST_00205,0,0,0,1,0,1,0,0,0,1
TEST_00206,0,0,0,1,0,1,0,0,1,0
TEST_00207,0,0,1,0,0,1,0,1,0,0
TEST_00208,0,0,1,0,0,0,1,0,1,0
TEST_00209,1,1,0,0,1,1,0,0,1,1
TEST_00210,0,1,0,0,1,0,1,0,1,1
TEST_00211,1,1,1,1,1,1,1,1,0,0
TEST_00212,0,0,0,0,1,0,0,0,1,0
TEST_00213,1,1,0,0,0,0,0,0,0,1
TEST_00214,1,1,1,0,1,1,0,0,0,1
TEST_00215,1,0,0,0,1,0,0,0,0,0
TEST_00216,1,0,1,0,1,0,1,0,0,1
TEST_00217,0,1,1,0,0,1,0,0,0,0
TEST_00218,1,1,0,0,1,1,0,0,1,1
TEST_00219,0,1,0,0,0,1,0,1,0,0
TEST_00220,0,0,0,0,1,1,0,0,0,0
TEST_00221,1,1,0,0,0,0,0,0,1,0
TEST_00222,0,1,0,1,1,0,0,1,1,0
TEST_00223,0,1,0,0,1,0,1,1,1,0
TEST_00224,1,0,0,1,1,0,1,1,1,0
TEST_00225,0,0,1,0,1,1,0,1,0,0
TEST_00226,0,1,1,1,1,1,1,0,0,0
TEST_00227,0,1,1,0,0,1,0,1,1,1
TEST_00228,1,0,1,1,0,1,0,0,1,1
TEST_00229,0,0,0,1,0,1,0,0,0,0
TEST_00230,0,0,0,0,1,0,0,1,1,0
TEST_00231,0,1,0,0,0,0,1,1,1,1
TEST_00232,0,1,0,1,0,0,0,0,0,1
TEST_00233,1,0,1,0,1,1,1,1,0,0
TEST_00234,0,0,0,1,1,1,0,0,0,0
TEST_00235,0,0,1,0,1,0,1,0,0,1
TEST_00236,1,1,1,0,0,0,0,0,1,1
TEST_00237,1,0,0,0,1,1,0,1,0,0
TEST_00238,1,0,0,0,0,0,0,0,1,0
TEST_00239,1,0,1,0,0,0,0,1,0,0
TEST_00240,0,0,0,0,1,1,0,1,0,1
TEST_00241,0,1,0,1,1,1,0,1,1,0
TEST_00242,1,1,1,0,1,0,1,0,0,1
TEST_00243,0,1,0,0,0,0,0,0,0,0
TEST_00244,0,1,1,0,1,1,1,1,0,0
TEST_00245,0,1,1,0,1,1,1,1,1,0
TEST_00246,0,1,1,1,0,0,1,0,1,0
TEST_00247,0,0,1,0,0,0,0,1,1,1
TEST_00248,0,0,1,1,0,1,0,1,0,1
TEST_00249,1,1,0,1,0,0,0,0,1,0
TEST_00250,0,0,1,1,1,1,1,0,0,1
TEST_00251,0,1,0,0,1,0,0,0,1,0
TEST_00252,0,1,0,0,0,0,0,0,0,1
TEST_00253,1,0,1,1,0,0,0,0,1,0
TEST_00254,0,1,1,0,0,0,1,0,0,0
TEST_00255,1,1,0,1,0,0,0,1,1,1
TEST_00256,1,0,1,1,1,0,0,0,1,1
TEST_00257,1,1,0,0,0,0,0,0,0,0
TEST_00258,1,0,1,1,1,0,0,0,1,0
TEST_00259,0,1,0,0,1,0,1,0,0,0
TEST_00260,0,1,0,0,0,1,0,0,0,0
TEST_00261,0,0,0,0,0,1,0,1,0,1
TEST_00262,0,0,0,0,1,1,0,1,1,0
TEST_00263,1,1,1,1,0,0,0,0,1,0
TEST_00264,0,0,1,0,0,0,0,1,0,0
TEST_00265,0,1,0,0,0,0,0,0,0,1
TEST_00266,0,0,1,1,1,0,1,0,1,0
TEST_00267,1,1,0,0,1,0,0,0,1,0
TEST_00268,1,0,1,1,0,0,1,1,0,1
TEST_00269,1,0,0,1,0,0,0,0,0,0
TEST_00270,1,0,0,1,1,0,1,0,0,0
TEST_00271,1,0,1,1,0,1,0,1,0,0
TEST_00272,0,0,1,0,0,0,0,0,0,0
TEST_00273,0,0,0,1,0,0,0,1,0,0
TEST_00274,1,0,1,1,0,0,0,1,0,1
TEST_00275,0,1,0,0,0,1,1,1,0,0
TEST_00276,0,0,1,0,0,0,0,0,1,1
TEST_00277,1,0,0,0,1,0,1,1,1,0
TEST_00278,1,0,1,1,0,0,0,0,0,0
TEST_00279,1,0,1,1,1,0,0,0,0,1
TEST_00280,1,1,0,1,0,1,1,1,0,0
TEST_00281,0,1,1,1,1,0,0,0,1,0
TEST_00282,0,1,1,0,0,1,0,1,1,1
TEST_00283,0,0,0,0,1,0,0,1,0,0
TEST_00284,0,0,1,0,0,0,0,0,1,0
TEST_00285,0,0,0,0,0,0,0,0,0,1
TEST_00286,0,1,1,0,1,0,0,0,0,1
TEST_00287,0,1,0,0,1,0,0,0,0,0
TEST_00288,0,1,0,0,1,0,0,0,0,0
TEST_00289,0,0,1,1,0,1,1,1,1,0
TEST_00290,1,0,1,0,1,0,0,1,1,1
TEST_00291,0,0,1,1,1,1,0,1,1,0
TEST_00292,1,1,1,0,1,0,0,1,0,1
TEST_00293,0,1,0,1,1,0,0,1,0,0
TEST_00294,0,0,0,0,0,1,0,1,1,0
TEST_00295,0,1,1,1,0,0,0,0,0,0
TEST_00296,1,0,0,1,1,1,1,0,0,0
TEST_00297,0,1,0,1,0,0,0,1,0,0
TEST_00298,1,0,1,0,0,0,1,0,1,0
TEST_00299,0,0,1,0,1,0,0,0,1,0
TEST_00300,0,0,1,0,1,1,0,1,1,0
TEST_00301,1,0,0,1,1,1,0,0,1,0
TEST_00302,0,0,0,0,0,0,0,0,0,1
TEST_00303,0,0,1,1,0,0,0,0,0,0
TEST_00304,0,1,0,1,1,1,0,1,0,1
TEST_00305,1,1,1,0,1,1,0,1,1,1
TEST_00306,0,1,0,1,0,0,0,0,1,0
TEST_00307,1,0,0,0,0,1,0,0,0,0
TEST_00308,1,1,0,0,1,1,1,1,1,0
TEST_00309,0,1,1,1,0,0,1,1,1,0
TEST_00310,0,0,0,0,0,1,1,0,1,0
TEST_00311,0,1,1,1,0,0,1,0,1,1
TEST_00312,0,1,1,1,1,1,0,0,0,0
TEST_00313,0,0,1,0,0,0,0,0,1,0
TEST_00314,0,0,0,1,0,0,0,1,0,1
TEST_00315,0,1,0,1,1,0,0,1,0,1
TEST_00316,1,0,0,1,1,0,0,1,1,0
TEST_00317,0,0,1,0,1,0,0,1,1,0
TEST_00318,1,0,1,1,0,1,0,0,1,0
TEST_00319,0,0,0,1,1,0,1,0,0,0
TEST_00320,0,0,0,0,0,0,1,0,1,0
TEST_00321,0,0,1,0,1,1,0,0,0,0
TEST_00322,1,1,0,0,0,0,0,1,1,0
TEST_00323,0,1,1,1,0,0,0,1,1,0
TEST_00324,0,1,0,0,1,1,0,1,0,1
TEST_00325,1,0,0,1,0,1,0,0,0,0
TEST_00326,0,1,0,0,0,0,0,0,0,0
TEST_00327,0,0,1,1,0,0,0,1,0,0
TEST_00328,0,1,0,1,0,0,0,0,0,1
TEST_00329,0,0,0,0,0,0,0,0,0,0
TEST_00330,0,1,1,0,0,1,0,1,0,0
TEST_00331,0,1,1,0,1,0,0,1,1,0
TEST_00332,1,0,0,1,0,0,0,1,0,1
TEST_00333,0,1,0,0,0,0,0,0,0,0
TEST_00334,0,1,1,1,1,1,0,0,0,1
TEST_00335,0,0,0,0,0,0,0,0,1,0
TEST_00336,1,1,1,0,0,0,0,0,0,1
TEST_00337,0,1,0,1,0,1,1,0,1,1
TEST_00338,0,0,1,0,0,0,0,1,0,0
TEST_00339,0,1,0,1,0,1,0,0,0,0
TEST_00340,1,0,1,1,0,1,0,0,0,1
TEST_00341,0,0,0,0,0,0,0,0,1,1
TEST_00342,1,1,0,0,0,0,1,1,0,0
TEST_00343,0,0,1,1,0,0,0,0,1,0
TEST_00344,0,1,1,1,0,0,0,0,1,1
TEST_00345,0,0,1,0,1,1,0,0,0,1
TEST_00346,0,1,0,0,0,0,0,0,0,1
TEST_00347,0,1,0,1,1,1,0,0,1,1
TEST_00348,1,0,1,0,0,0,0,0,0,1
TEST_00349,1,0,1,1,1,1,1,0,0,0
TEST_00350,0,1,0,1,1,1,0,1,0,0
TEST_00351,0,0,1,1,0,0,0,0,0,0
TEST_00352,0,0,0,1,1,0,0,0,1,0
TEST_00353,0,1,1,0,0,0,0,1,1,1
TEST_00354,1,1,0,1,0,0,0,0,0,1
TEST_00355,1,1,0,1,1,1,1,0,0,0
TEST_00356,1,1,1,0,1,1,1,0,0,1
TEST_00357,1,0,0,1,1,0,0,1,0,0
TEST_00358,0,0,0,1,0,0,0,1,1,0
TEST_00359,0,0,0,1,1,0,0,0,0,1
TEST_00360,1,1,1,0,0,1,0,0,0,1
TEST_00361,1,0,0,0,1,1,1,0,0,0
TEST_00362,0,0,0,1,1,0,0,1,0,0
TEST_00363,0,1,0,0,0,0,0,1,1,0
TEST_00364,1,1,1,0,0,1,0,1,1,0
TEST_00365,0,1,1,1,1,0,0,1,0,1
TEST_00366,1,0,0,1,0,0,0,0,0,1
TEST_00367,0,1,1,0,1,1,0,1,0,1
TEST_00368,0,0,0,0,1,0,0,1,0,0
TEST_00369,1,0,0,0,0,0,0,1,1,0
TEST_00370,0,1,1,1,1,0,0,0,1,0
TEST_00371,0,1,0,0,0,0,1,0,1,0
TEST_00372,0,1,0,0,0,0,0,1,0,1
TEST_00373,1,0,0,0,1,1,0,0,0,0
TEST_00374,0,0,0,0,1,0,1,0,1,0
TEST_00375,0,1,1,1,1,0,1,1,1,0
TEST_00376,1,0,0,1,1,1,0,1,0,0
TEST_00377,0,1,1,1,0,1,0,0,0,0
TEST_00378,0,0,0,0,1,0,0,0,1,0
TEST_00379,1,1,1,1,1,0,0,0,1,0
TEST_00380,1,1,1,1,0,1,0,0,1,0
TEST_00381,1,1,1,1,0,0,0,1,0,1
TEST_00382,1,0,0,1,1,0,1,1,0,0
TEST_00383,0,1,0,0,0,0,1,0,0,1
TEST_00384,0,0,1,0,0,1,1,0,0,0
TEST_00385,0,0,0,0,1,1,0,0,0,1
TEST_00386,0,0,1,0,1,0,1,0,0,0
TEST_00387,0,1,0,1,0,0,0,0,0,0
TEST_00388,1,0,0,1,0,1,0,0,0,0
TEST_00389,0,0,0,0,0,0,0,1,0,0
TEST_00390,0,0,0,1,1,0,0,0,0,1
TEST_00391,0,1,0,0,1,0,1,1,0,1
TEST_00392,0,0,1,0,1,0,1,1,0,0
TEST_00393,0,1,0,0,0,0,0,1,1,1
TEST_00394,0,1,0,0,0,0,0,0,0,0
TEST_00395,1,0,1,0,1,1,0,0,0,0
TEST_00396,1,0,0,0,0,1,1,0,0,0
TEST_00397,1,0,0,0,0,0,0,1,0,1
TEST_00398,0,1,0,1,0,0,0,0,0,1
TEST_00399,1,0,1,1,1,0,1,0,0,0
TEST_00400,1,1,0,0,1,0,0,1,0,0
TEST_00401,1,1,0,0,0,1,0,0,1,1
TEST_00402,0,1,1,0,1,0,1,1,0,1
TEST_00403,1,0,0,0,0,1,0,0,1,0
TEST_00404,1,0,1,1,1,1,0,1,1,0
TEST_00405,0,1,0,0,0,0,0,0,0,0
TEST_00406,1,1,0,0,1,0,1,0,1,1
TEST_00407,1,1,1,0,1,1,0,0,0,0
TEST_00408,0,0,1,0,0,0,1,0,0,0
TEST_00409,1,0,1,0,1,1,0,1,1,0
TEST_00410,1,1,0,1,0,0,0,0,0,1
TEST_00411,0,1,1,0,0,0,0,1,1,1
TEST_00412,1,1,0,1,1,0,1,0,1,0
TEST_00413,0,0,0,1,0,1,0,0,0,0
TEST_00414,0,1,1,1,0,1,1,0,0,0
TEST_00415,0,0,0,1,0,0,0,0,0,0
TEST_00416,0,0,1,1,1,0,0,0,0,0
TEST_00417,1,1,0,1,0,0,0,0,1,0
TEST_00418,0,0,0,0,1,0,0,0,1,0
TEST_00419,1,0,1,0,1,1,0,0,1,0
TEST_00420,0,0,1,0,1,0,0,0,0,0
TEST_00421,0,0,0,0,1,1,1,0,0,1
TEST_00422,1,0,0,1,0,0,0,0,0,0
TEST_00423,0,1,1,1,1,1,0,0,1,0
TEST_00424,0,1,1,0,1,1,0,0,0,0
TEST_00425,1,0,1,1,0,0,1,0,0,1
TEST_00426,1,0,0,0,0,0,0,1,0,0
TEST_00427,1,0,1,0,0,0,0,0,0,1
TEST_00428,0,0,0,0,0,1,0,0,1,1
TEST_00429,1,0,0,1,0,1,0,0,0,0
TEST_00430,0,0,1,0,0,0,1,1,1,0
TEST_00431,0,0,1,0,0,0,0,0,0,0
TEST_00432,0,1,1,0,0,1,0,0,0,1
TEST_00433,0,1,1,1,1,1,0,0,0,0
TEST_00434,0,1,1,1,0,1,0,1,0,1
TEST_00435,1,0,0,0,1,0,0,0,1,0
TEST_00436,0,1,0,1,1,0,0,0,0,0
TEST_00437,1,1,1,0,1,1,1,0,0,0
TEST_00438,0,1,0,1,0,0,0,1,0,0
TEST_00439,0,0,1,0,0,0,0,1,0,0
TEST_00440,1,1,1,0,0,1,1,1,0,0
TEST_00441,0,1,0,0,1,0,0,1,0,0
TEST_00442,1,0,1,0,1,0,0,0,1,0
TEST_00443,0,0,0,1,1,0,0,1,0,0
TEST_00444,0,1,0,1,1,0,0,1,1,0
TEST_00445,0,0,1,0,1,0,0,0,0,1
TEST_00446,0,0,1,0,0,1,0,0,0,1
TEST_00447,1,1,1,1,1,0,0,0,0,1
TEST_00448,0,0,1,0,0,1,0,0,0,0
TEST_00449,0,1,0,0,1,0,0,0,1,0
TEST_00450,0,0,1,0,1,1,1,0,1,0
TEST_00451,0,1,1,0,1,1,0,0,0,1
TEST_00452,0,0,0,1,1,0,0,0,0,0
TEST_00453,1,0,0,1,0,1,0,0,1,1
TEST_00454,0,1,1,0,0,0,1,0,1,0
TEST_00455,0,1,0,1,0,0,1,0,0,1
TEST_00456,0,1,1,1,0,0,1,1,0,1
TEST_00457,0,1,0,0,0,1,0,0,0,0
TEST_00458,0,0,0,0,0,1,0,0,0,1
TEST_00459,0,1,0,0,1,0,1,0,1,1
TEST_00460,0,1,1,0,0,1,0,1,1,0
TEST_00461,0,0,1,0,0,0,0,1,0,0
TEST_00462,0,1,1,1,1,0,0,0,0,0
TEST_00463,1,1,0,1,1,1,1,0,1,0
TEST_00464,1,0,0,1,0,0,0,1,1,0
TEST_00465,0,1,0,0,1,1,0,1,1,1
TEST_00466,0,0,1,1,0,0,0,1,0,1
TEST_00467,1,0,0,1,0,1,1,1,0,0
TEST_00468,1,0,0,0,0,0,1,0,0,1
TEST_00469,0,0,0,1,0,0,0,1,1,1
TEST_00470,0,1,1,1,0,0,0,1,0,1
TEST_00471,1,1,0,1,0,0,0,0,1,0
TEST_00472,0,0,1,1,1,0,0,0,1,0
TEST_00473,0,0,0,1,1,0,0,1,0,1
TEST_00474,1,1,0,0,0,0,0,0,1,0
TEST_00475,1,1,1,0,0,1,0,0,1,1
TEST_00476,0,0,1,0,0,1,0,0,0,0
TEST_00477,0,0,0,1,1,0,1,0,0,0
TEST_00478,0,1,0,0,1,1,0,1,1,0
TEST_00479,1,1,1,1,1,0,0,0,0,1
TEST_00480,0,1,0,0,0,0,0,0,0,0
TEST_00481,1,0,1,1,1,1,0,0,1,0
TEST_00482,1,0,0,0,1,0,0,1,0,0
TEST_00483,0,0,1,1,0,0,0,0,0,0
TEST_00484,0,1,0,1,0,1,0,0,0,1
TEST_00485,0,1,1,1,1,1,0,0,0,1
TEST_00486,0,1,0,0,0,0,0,1,0,1
TEST_00487,1,1,0,1,1,0,1,0,1,0
TEST_00488,0,0,0,0,0,0,0,0,0,0
TEST_00489,1,1,0,1,1,0,0,0,1,0
TEST_00490,0,1,1,0,1,1,0,1,1,0
TEST_00491,0,0,0,1,0,1,0,0,0,0
TEST_00492,1,1,0,1,0,0,1,1,1,1
TEST_00493,1,0,0,0,1,0,0,1,1,0
TEST_00494,0,1,0,1,1,0,0,0,1,0
TEST_00495,0,0,0,1,0,1,1,0,1,0
TEST_00496,0,1,0,1,1,0,0,1,1,0
TEST_00497,0,1,0,0,0,0,0,0,1,1
TEST_00498,0,1,1,1,0,0,1,1,1,1
TEST_00499,0,1,0,1,0,1,0,1,0,0
TEST_00500,0,0,1,1,0,0,0,0,0,0
TEST_00501,1,1,1,0,1,1,0,0,0,0
TEST_00502,0,1,1,0,1,0,0,1,1,0
TEST_00503,0,1,1,0,0,0,1,1,0,0
TEST_00504,1,0,0,1,0,0,0,0,0,0
TEST_00505,1,0,0,0,1,0,1,0,0,0
TEST_00506,1,0,0,1,0,0,0,0,0,0
TEST_00507,0,1,0,1,0,1,0,0,0,0
TEST_00508,0,1,1,0,0,1,1,1,0,0
TEST_00509,0,0,1,0,1,0,0,0,0,0
TEST_00510,0,0,1,1,0,0,1,1,1,0
TEST_00511,0,1,0,1,0,0,1,1,1,0
TEST_00512,0,0,0,0,0,1,0,0,0,0
TEST_00513,0,1,0,0,0,1,1,1,0,0
TEST_00514,0,0,1,1,0,1,0,1,0,0
TEST_00515,0,1,0,1,0,1,0,1,0,1
