id,A,B,C,D,E,F,G,H,I,J
TEST_00066,1,1,1,1,1,1,1,1,1,1
TEST_00067,1,1,1,1,1,1,1,1,1,1
TEST_00068,1,1,1,1,1,1,1,1,1,1
TEST_00069,1,1,1,1,1,1,1,1,1,1
TEST_00070,1,1,1,1,1,1,1,1,1,1
TEST_00071,1,1,1,1,1,1,1,1,1,1
TEST_00072,1,1,1,1,1,1,1,1,1,1
TEST_00073,1,1,1,1,1,1,1,1,1,1
TEST_00074,1,1,1,1,1,1,1,1,1,1
TEST_00075,1,1,1,1,1,1,1,1,1,1
TEST_00076,1,1,1,1,1,1,1,1,1,1
TEST_00077,1,1,1,1,1,1,1,1,1,1
TEST_00078,1,1,1,1,1,1,1,1,1,1
TEST_00079,1,1,1,1,1,1,1,1,1,1
TEST_00080,1,1,1,1,1,1,1,1,1,1
TEST_00081,1,1,1,1,1,1,1,1,1,1
TEST_00082,1,1,1,1,1,1,1,1,1,1
TEST_00083,1,1,1,1,1,1,1,1,1,1
TEST_00084,1,1,1,1,1,1,1,1,1,1
TEST_00085,1,1,1,1,1,1,1,1,1,1
TEST_00086,1,1,1,1,1,1,1,1,1,1
TEST_00087,1,1,1,1,1,1,1,1,1,1
TEST_00088,1,1,1,1,1,1,1,1,1,1
TEST_00089,1,1,1,1,1,1,1,1,1,1
TEST_00090,1,1,1,1,1,1,1,1,1,1
TEST_00091,1,1,1,1,1,1,1,1,1,1
TEST_00092,1,1,1,1,1,1,1,1,1,1
TEST_00093,1,1,1,1,1,1,1,1,1,1
TEST_00094,1,1,1,1,1,1,1,1,1,1
TEST_00095,1,1,1,1,1,1,1,1,1,1
TEST_00096,1,1,1,1,1,1,1,1,1,1
TEST_00097,1,1,1,1,1,1,1,1,1,1
TEST_00098,1,1,1,1,1,1,1,1,1,1
TEST_00099,1,1,1,1,1,1,1,1,1,1
TEST_00100,1,1,1,1,1,1,1,1,1,1
TEST_00101,1,1,1,1,1,1,1,1,1,1
TEST_00102,1,1,1,1,1,1,1,1,1,1
TEST_00103,1,1,1,1,1,1,1,1,1,1
TEST_00104,1,1,1,1,1,1,1,1,1,1
TEST_00105,1,1,1,1,1,1,1,1,1,1
TEST_00106,1,1,1,1,1,1,1,1,1,1
TEST_00107,1,1,1,1,1,1,1,1,1,1
TEST_00108,1,1,1,1,1,1,1,1,1,1
TEST_00109,1,1,1,1,1,1,1,1,1,1
TEST_00110,1,1,1,1,1,1,1,1,1,1
TEST_00111,1,1,1,1,1,1,1,1,1,1
TEST_00112,1,1,1,1,1,1,1,1,1,1
TEST_00113,1,1,1,1,1,1,1,1,1,1
TEST_00114,1,1,1,1,1,1,1,1,1,1
TEST_00115,1,1,1,1,1,1,1,1,1,1
TEST_00116,1,1,1,1,1,1,1,1,1,1
TEST_00117,1,1,1,1,1,1,1,1,1,1
TEST_00118,1,1,1,1,1,1,1,1,1,1
TEST_00119,1,1,1,1,1,1,1,1,1,1
TEST_00120,1,1,1,1,1,1,1,1,1,1
TEST_00121,1,1,1,1,1,1,1,1,1,1
TEST_00122,1,1,1,1,1,1,1,1,1,1
TEST_00123,1,1,1,1,1,1,1,1,1,1
TEST_00124,1,1,1,1,1,1,1,1,1,1
TEST_00125,1,1,1,1,1,1,1,1,1,1
TEST_00126,1,1,1,1,1,1,1,1,1,1
TEST_00127,1,1,1,1,1,1,1,1,1,1
TEST_00128,1,1,1,1,1,1,1,1,1,1
TEST_00129,1,1,1,1,1,1,1,1,1,1
TEST_00130,1,1,1,1,1,1,1,1,1,1
TEST_00131,1,1,1,1,1,1,1,1,1,1
TEST_00132,1,1,1,1,1,1,1,1,1,1
TEST_00133,1,1,1,1,1,1,1,1,1,1
TEST_00134,1,1,1,1,1,1,1,1,1,1
TEST_00135,1,1,1,1,1,1,1,1,1,1
TEST_00136,1,1,1,1,1,1,1,1,1,1
TEST_00137,1,1,1,1,1,1,1,1,1,1
TEST_00138,1,1,1,1,1,1,1,1,1,1
TEST_00139,1,1,1,1,1,1,1,1,1,1
TEST_00140,1,1,1,1,1,1,1,1,1,1
TEST_00141,1,1,1,1,1,1,1,1,1,1
TEST_00142,1,1,1,1,1,1,1,1,1,1
TEST_00143,1,1,1,1,1,1,1,1,1,1
TEST_00144,1,1,1,1,1,1,1,1,1,1
TEST_00145,1,1,1,1,1,1,1,1,1,1
TEST_00146,1,1,1,1,1,1,1,1,1,1
TEST_00147,1,1,1,1,1,1,1,1,1,1
TEST_00148,1,1,1,1,1,1,1,1,1,1
TEST_00149,1,1,1,1,1,1,1,1,1,1
TEST_00150,1,1,1,1,1,1,1,1,1,1
TEST_00151,1,1,1,1,1,1,1,1,1,1
TEST_00152,1,1,1,1,1,1,1,1,1,1
TEST_00153,1,1,1,1,1,1,1,1,1,1
TEST_00154,1,1,1,1,1,1,1,1,1,1
TEST_00155,1,1,1,1,1,1,1,1,1,1
TEST_00156,1,1,1,1,1,1,1,1,1,1
TEST_00157,1,1,1,1,1,1,1,1,1,1
TEST_00158,1,1,1,1,1,1,1,1,1,1
TEST_00159,1,1,1,1,1,1,1,1,1,1
TEST_00160,1,1,1,1,1,1,1,1,1,1
TEST_00161,1,1,1,1,1,1,1,1,1,1
TEST_00162,1,1,1,1,1,1,1,1,1,1
TEST_00163,1,1,1,1,1,1,1,1,1,1
TEST_00164,1,1,1,1,1,1,1,1,1,1
TEST_00165,1,1,1,1,1,1,1,1,1,1
TEST_00166,1,1,1,1,1,1,1,1,1,1
TEST_00167,1,1,1,1,1,1,1,1,1,1
TEST_00168,1,1,1,1,1,1,1,1,1,1
TEST_00169,1,1,1,1,1,1,1,1,1,1
TEST_00170,1,1,1,1,1,1,1,1,1,1
TEST_00171,1,1,1,1,1,1,1,1,1,1
TEST_00172,1,1,1,1,1,1,1,1,1,1
TEST_00173,1,1,1,1,1,1,1,1,1,1
TEST_00174,1,1,1,1,1,1,1,1,1,1
TEST_00175,1,1,1,1,1,1,1,1,1,1
TEST_00176,1,1,1,1,1,1,1,1,1,1
TEST_00177,1,1,1,1,1,1,1,1,1,1
TEST_00178,1,1,1,1,1,1,1,1,1,1
TEST_00179,1,1,1,1,1,1,1,1,1,1
TEST_00180,1,1,1,1,1,1,1,1,1,1
TEST_00181,1,1,1,1,1,1,1,1,1,1
TEST_00182,1,1,1,1,1,1,1,1,1,1
TEST_00183,1,1,1,1,1,1,1,1,1,1
TEST_00184,1,1,1,1,1,1,1,1,1,1
TEST_00185,1,1,1,1,1,1,1,1,1,1
TEST_00186,1,1,1,1,1,1,1,1,1,1
TEST_00187,1,1,1,1,1,1,1,1,1,1
TEST_00188,1,1,1,1,1,1,1,1,1,1
TEST_00189,1,1,1,1,1,1,1,1,1,1
TEST_00190,1,1,1,1,1,1,1,1,1,1
TEST_00191,1,1,1,1,1,1,1,1,1,1
TEST_00192,1,1,1,1,1,1,1,1,1,1
TEST_00193,1,1,1,1,1,1,1,1,1,1
TEST_00194,1,1,1,1,1,1,1,1,1,1
TEST_00195,1,1,1,1,1,1,1,1,1,1
TEST_00196,1,1,1,1,1,1,1,1,1,1
TEST_00197,1,1,1,1,1,1,1,1,1,1
TEST_00198,1,1,1,1,1,1,1,1,1,1
TEST_00199,1,1,1,1,1,1,1,1,1,1
TEST_00200,1,1,1,1,1,1,1,1,1,1
TEST_00201,1,1,1,1,1,1,1,1,1,1
TEST_00202,1,1,1,1,1,1,1,1,1,1
TEST_00203,1,1,1,1,1,1,1,1,1,1
TEST_00204,1,1,1,1,1,1,1,1,1,1
TEST_00205,1,1,1,1,1,1,1,1,1,1
TEST_00206,1,1,1,1,1,1,1,1,1,1
TEST_00207,1,1,1,1,1,1,1,1,1,1
TEST_00208,1,1,1,1,1,1,1,1,1,1
TEST_00209,1,1,1,1,1,1,1,1,1,1
TEST_00210,1,1,1,1,1,1,1,1,1,1
TEST_00211,1,1,1,1,1,1,1,1,1,1
TEST_00212,1,1,1,1,1,1,1,1,1,1
TEST_00213,1,1,1,1,1,1,1,1,1,1
TEST_00214,1,1,1,1,1,1,1,1,1,1
TEST_00215,1,1,1,1,1,1,1,1,1,1
TEST_00216,1,1,1,1,1,1,1,1,1,1
TEST_00217,1,1,1,1,1,1,1,1,1,1
TEST_00218,1,1,1,1,1,1,1,1,1,1
TEST_00219,1,1,1,1,1,1,1,1,1,1
TEST_00220,1,1,1,1,1,1,1,1,1,1
TEST_00221,1,1,1,1,1,1,1,1,1,1
TEST_00222,1,1,1,1,1,1,1,1,1,1
TEST_00223,1,1,1,1,1,1,1,1,1,1
TEST_00224,1,1,1,1,1,1,1,1,1,1
TEST_00225,1,1,1,1,1,1,1,1,1,1
TEST_00226,1,1,1,1,1,1,1,1,1,1
TEST_00227,1,1,1,1,1,1,1,1,1,1
TEST_00228,1,1,1,1,1,1,1,1,1,1
TEST_00229,1,1,1,1,1,1,1,1,1,1
TEST_00230,1,1,1,1,1,1,1,1,1,1
TEST_00231,1,1,1,1,1,1,1,1,1,1
TEST_00232,1,1,1,1,1,1,1,1,1,1
TEST_00233,1,1,1,1,1,1,1,1,1,1
TEST_00234,1,1,1,1,1,1,1,1,1,1
TEST_00235,1,1,1,1,1,1,1,1,1,1
TEST_00236,1,1,1,1,1,1,1,1,1,1
TEST_00237,1,1,1,1,1,1,1,1,1,1
TEST_00238,1,1,1,1,1,1,1,1,1,1
TEST_00239,1,1,1,1,1,1,1,1,1,1
TEST_00240,1,1,1,1,1,1,1,1,1,1
TEST_00241,1,1,1,1,1,1,1,1,1,1
TEST_00242,1,1,1,1,1,1,1,1,1,1
TEST_00243,1,1,1,1,1,1,1,1,1,1
TEST_00244,1,1,1,1,1,1,1,1,1,1
TEST_00245,1,1,1,1,1,1,1,1,1,1
TEST_00246,1,1,1,1,1,1,1,1,1,1
TEST_00247,1,1,1,1,1,1,1,1,1,1
TEST_00248,1,1,1,1,1,1,1,1,1,1
TEST_00249,1,1,1,1,1,1,1,1,1,1
TEST_00250,1,1,1,1,1,1,1,1,1,1
TEST_00251,1,1,1,1,1,1,1,1,1,1
TEST_00252,1,1,1,1,1,1,1,1,1,1
TEST_00253,1,1,1,1,1,1,1,1,1,1
TEST_00254,1,1,1,1,1,1,1,1,1,1
TEST_00255,1,1,1,1,1,1,1,1,1,1
TEST_00256,1,1,1,1,1,1,1,1,1,1
TEST_00257,1,1,1,1,1,1,1,1,1,1
TEST_00258,1,1,1,1,1,1,1,1,1,1
TEST_00259,1,1,1,1,1,1,1,1,1,1
TEST_00260,1,1,1,1,1,1,1,1,1,1
TEST_00261,1,1,1,1,1,1,1,1,1,1
TEST_00262,1,1,1,1,1,1,1,1,1,1
TEST_00263,1,1,1,1,1,1,1,1,1,1
TEST_00264,1,1,1,1,1,1,1,1,1,1
TEST_00265,1,1,1,1,1,1,1,1,1,1
TEST_00266,1,1,1,1,1,1,1,1,1,1
TEST_00267,1,1,1,1,1,1,1,1,1,1
TEST_00268,1,1,1,1,1,1,1,1,1,1
TEST_00269,1,1,1,1,1,1,1,1,1,1
TEST_00270,1,1,1,1,1,1,1,1,1,1
TEST_00271,1,1,1,1,1,1,1,1,1,1
TEST_00272,1,1,1,1,1,1,1,1,1,1
TEST_00273,1,1,1,1,1,1,1,1,1,1
TEST_00274,1,1,1,1,1,1,1,1,1,1
TEST_00275,1,1,1,1,1,1,1,1,1,1
TEST_00276,1,1,1,1,1,1,1,1,1,1
TEST_00277,1,1,1,1,1,1,1,1,1,1
TEST_00278,1,1,1,1,1,1,1,1,1,1
TEST_00279,1,1,1,1,1,1,1,1,1,1
TEST_00280,1,1,1,1,1,1,1,1,1,1
TEST_00281,1,1,1,1,1,1,1,1,1,1
TEST_00282,1,1,1,1,1,1,1,1,1,1
TEST_00283,1,1,1,1,1,1,1,1,1,1
TEST_00284,1,1,1,1,1,1,1,1,1,1
TEST_00285,1,1,1,1,1,1,1,1,1,1
TEST_00286,1,1,1,1,1,1,1,1,1,1
TEST_00287,1,1,1,1,1,1,1,1,1,1
TEST_00288,1,1,1,1,1,1,1,1,1,1
TEST_00289,1,1,1,1,1,1,1,1,1,1
TEST_00290,1,1,1,1,1,1,1,1,1,1
TEST_00291,1,1,1,1,1,1,1,1,1,1
TEST_00292,1,1,1,1,1,1,1,1,1,1
TEST_00293,1,1,1,1,1,1,1,1,1,1
TEST_00294,1,1,1,1,1,1,1,1,1,1
TEST_00295,1,1,1,1,1,1,1,1,1,1
TEST_00296,1,1,1,1,1,1,1,1,1,1
TEST_00297,1,1,1,1,1,1,1,1,1,1
TEST_00298,1,1,1,1,1,1,1,1,1,1
TEST_00299,1,1,1,1,1,1,1,1,1,1
TEST_00300,1,1,1,1,1,1,1,1,1,1
TEST_00301,1,1,1,1,1,1,1,1,1,1
TEST_00302,1,1,1,1,1,1,1,1,1,1
TEST_00303,1,1,1,1,1,1,1,1,1,1
TEST_00304,1,1,1,1,1,1,1,1,1,1
TEST_00305,1,1,1,1,1,1,1,1,1,1
TEST_00306,1,1,1,1,1,1,1,1,1,1
TEST_00307,1,1,1,1,1,1,1,1,1,1
TEST_00308,1,1,1,1,1,1,1,1,1,1
TEST_00309,1,1,1,1,1,1,1,1,1,1
TEST_00310,1,1,1,1,1,1,1,1,1,1
TEST_00311,1,1,1,1,1,1,1,1,1,1
TEST_00312,1,1,1,1,1,1,1,1,1,1
TEST_00313,1,1,1,1,1,1,1,1,1,1
TEST_00314,1,1,1,1,1,1,1,1,1,1
TEST_00315,1,1,1,1,1,1,1,1,1,1
TEST_00316,1,1,1,1,1,1,1,1,1,1
TEST_00317,1,1,1,1,1,1,1,1,1,1
TEST_00318,1,1,1,1,1,1,1,1,1,1
TEST_00319,1,1,1,1,1,1,1,1,1,1
TEST_00320,1,1,1,1,1,1,1,1,1,1
TEST_00321,1,1,1,1,1,1,1,1,1,1
TEST_00322,1,1,1,1,1,1,1,1,1,1
TEST_00323,1,1,1,1,1,1,1,1,1,1
TEST_00324,1,1,1,1,1,1,1,1,1,1
TEST_00325,1,1,1,1,1,1,1,1,1,1
TEST_00326,1,1,1,1,1,1,1,1,1,1
TEST_00327,1,1,1,1,1,1,1,1,1,1
TEST_00328,1,1,1,1,1,1,1,1,1,1
TEST_00329,1,1,1,1,1,1,1,1,1,1
TEST_00330,1,1,1,1,1,1,1,1,1,1
TEST_00331,1,1,1,1,1,1,1,1,1,1
TEST_00332,1,1,1,1,1,1,1,1,1,1
TEST_00333,1,1,1,1,1,1,1,1,1,1
TEST_00334,1,1,1,1,1,1,1,1,1,1
TEST_00335,1,1,1,1,1,1,1,1,1,1
TEST_00336,1,1,1,1,1,1,1,1,1,1
TEST_00337,1,1,1,1,1,1,1,1,1,1
TEST_00338,1,1,1,1,1,1,1,1,1,1
TEST_00339,1,1,1,1,1,1,1,1,1,1
TEST_00340,1,1,1,1,1,1,1,1,1,1
TEST_00341,1,1,1,1,1,1,1,1,1,1
TEST_00342,1,1,1,1,1,1,1,1,1,1
TEST_00343,1,1,1,1,1,1,1,1,1,1
TEST_00344,1,1,1,1,1,1,1,1,1,1
TEST_00345,1,1,1,1,1,1,1,1,1,1
TEST_00346,1,1,1,1,1,1,1,1,1,1
TEST_00347,1,1,1,1,1,1,1,1,1,1
TEST_00348,1,1,1,1,1,1,1,1,1,1
TEST_00349,1,1,1,1,1,1,1,1,1,1
TEST_00350,1,1,1,1,1,1,1,1,1,1
TEST_00351,1,1,1,1,1,1,1,1,1,1
TEST_00352,1,1,1,1,1,1,1,1,1,1
TEST_00353,1,1,1,1,1,1,1,1,1,1
TEST_00354,1,1,1,1,1,1,1,1,1,1
TEST_00355,1,1,1,1,1,1,1,1,1,1
TEST_00356,1,1,1,1,1,1,1,1,1,1
TEST_00357,1,1,1,1,1,1,1,1,1,1
TEST_00358,1,1,1,1,1,1,1,1,1,1
TEST_00359,1,1,1,1,1,1,1,1,1,1
TEST_00360,1,1,1,1,1,1,1,1,1,1
TEST_00361,1,1,1,1,1,1,1,1,1,1
TEST_00362,1,1,1,1,1,1,1,1,1,1
TEST_00363,1,1,1,1,1,1,1,1,1,1
TEST_00364,1,1,1,1,1,1,1,1,1,1
TEST_00365,1,1,1,1,1,1,1,1,1,1
TEST_00366,1,1,1,1,1,1,1,1,1,1
TEST_00367,1,1,1,1,1,1,1,1,1,1
TEST_00368,1,1,1,1,1,1,1,1,1,1
TEST_00369,1,1,1,1,1,1,1,1,1,1
TEST_00370,1,1,1,1,1,1,1,1,1,1
TEST_00371,1,1,1,1,1,1,1,1,1,1
TEST_00372,1,1,1,1,1,1,1,1,1,1
TEST_00373,1,1,1,1,1,1,1,1,1,1
TEST_00374,1,1,1,1,1,1,1,1,1,1
TEST_00375,1,1,1,1,1,1,1,1,1,1
TEST_00376,1,1,1,1,1,1,1,1,1,1
TEST_00377,1,1,1,1,1,1,1,1,1,1
TEST_00378,1,1,1,1,1,1,1,1,1,1
TEST_00379,1,1,1,1,1,1,1,1,1,1
TEST_00380,1,1,1,1,1,1,1,1,1,1
TEST_00381,1,1,1,1,1,1,1,1,1,1
TEST_00382,1,1,1,1,1,1,1,1,1,1
TEST_00383,1,1,1,1,1,1,1,1,1,1
TEST_00384,1,1,1,1,1,1,1,1,1,1
TEST_00385,1,1,1,1,1,1,1,1,1,1
TEST_00386,1,1,1,1,1,1,1,1,1,1
TEST_00387,1,1,1,1,1,1,1,1,1,1
TEST_00388,1,1,1,1,1,1,1,1,1,1
TEST_00389,1,1,1,1,1,1,1,1,1,1
TEST_00390,1,1,1,1,1,1,1,1,1,1
TEST_00391,1,1,1,1,1,1,1,1,1,1
TEST_00392,1,1,1,1,1,1,1,1,1,1
TEST_00393,1,1,1,1,1,1,1,1,1,1
TEST_00394,1,1,1,1,1,1,1,1,1,1
TEST_00395,1,1,1,1,1,1,1,1,1,1
TEST_00396,1,1,1,1,1,1,1,1,1,1
TEST_00397,1,1,1,1,1,1,1,1,1,1
TEST_00398,1,1,1,1,1,1,1,1,1,1
TEST_00399,1,1,1,1,1,1,1,1,1,1
TEST_00400,1,1,1,1,1,1,1,1,1,1
TEST_00401,1,1,1,1,1,1,1,1,1,1
TEST_00402,1,1,1,1,1,1,1,1,1,1
TEST_00403,1,1,1,1,1,1,1,1,1,1
TEST_00404,1,1,1,1,1,1,1,1,1,1
TEST_00405,1,1,1,1,1,1,1,1,1,1
TEST_00406,1,1,1,1,1,1,1,1,1,1
TEST_00407,1,1,1,1,1,1,1,1,1,1
TEST_00408,1,1,1,1,1,1,1,1,1,1
TEST_00409,1,1,1,1,1,1,1,1,1,1
TEST_00410,1,1,1,1,1,1,1,1,1,1
TEST_00411,1,1,1,1,1,1,1,1,1,1
TEST_00412,1,1,1,1,1,1,1,1,1,1
TEST_00413,1,1,1,1,1,1,1,1,1,1
TEST_00414,1,1,1,1,1,1,1,1,1,1
TEST_00415,1,1,1,1,1,1,1,1,1,1
TEST_00416,1,1,1,1,1,1,1,1,1,1
TEST_00417,1,1,1,1,1,1,1,1,1,1
TEST_00418,1,1,1,1,1,1,1,1,1,1
TEST_00419,1,1,1,1,1,1,1,1,1,1
TEST_00420,1,1,1,1,1,1,1,1,1,1
TEST_00421,1,1,1,1,1,1,1,1,1,1
TEST_00422,1,1,1,1,1,1,1,1,1,1
TEST_00423,1,1,1,1,1,1,1,1,1,1
TEST_00424,1,1,1,1,1,1,1,1,1,1
TEST_00425,1,1,1,1,1,1,1,1,1,1
TEST_00426,1,1,1,1,1,1,1,1,1,1
TEST_00427,1,1,1,1,1,1,1,1,1,1
TEST_00428,1,1,1,1,1,1,1,1,1,1
TEST_00429,1,1,1,1,1,1,1,1,1,1
TEST_00430,1,1,1,1,1,1,1,1,1,1
TEST_00431,1,1,1,1,1,1,1,1,1,1
TEST_00432,1,1,1,1,1,1,1,1,1,1
TEST_00433,1,1,1,1,1,1,1,1,1,1
TEST_00434,1,1,1,1,1,1,1,1,1,1
TEST_00435,1,1,1,1,1,1,1,1,1,1
TEST_00436,1,1,1,1,1,1,1,1,1,1
TEST_00437,1,1,1,1,1,1,1,1,1,1
TEST_00438,1,1,1,1,1,1,1,1,1,1
TEST_00439,1,1,1,1,1,1,1,1,1,1
TEST_00440,1,1,1,1,1,1,1,1,1,1
TEST_00441,1,1,1,1,1,1,1,1,1,1
TEST_00442,1,1,1,1,1,1,1,1,1,1
TEST_00443,1,1,1,1,1,1,1,1,1,1
TEST_00444,1,1,1,1,1,1,1,1,1,1
TEST_00445,1,1,1,1,1,1,1,1,1,1
TEST_00446,1,1,1,1,1,1,1,1,1,1
TEST_00447,1,1,1,1,1,1,1,1,1,1
TEST_00448,1,1,1,1,1,1,1,1,1,1
TEST_00449,1,1,1,1,1,1,1,1,1,1
TEST_00450,1,1,1,1,1,1,1,1,1,1
TEST_00451,1,1,1,1,1,1,1,1,1,1
TEST_00452,1,1,1,1,1,1,1,1,1,1
TEST_00453,1,1,1,1,1,1,1,1,1,1
TEST_00454,1,1,1,1,1,1,1,1,1,1
TEST_00455,1,1,1,1,1,1,1,1,1,1
TEST_00456,1,1,1,1,1,1,1,1,1,1
TEST_00457,1,1,1,1,1,1,1,1,1,1
TEST_00458,1,1,1,1,1,1,1,1,1,1
TEST_00459,1,1,1,1,1,1,1,1,1,1
TEST_00460,1,1,1,1,1,1,1,1,1,1
TEST_00461,1,1,1,1,1,1,1,1,1,1
TEST_00462,1,1,1,1,1,1,1,1,1,1
TEST_00463,1,1,1,1,1,1,1,1,1,1
TEST_00464,1,1,1,1,1,1,1,1,1,1
TEST_00465,1,1,1,1,1,1,1,1,1,1
TEST_00466,1,1,1,1,1,1,1,1,1,1
TEST_00467,1,1,1,1,1,1,1,1,1,1
TEST_00468,1,1,1,1,1,1,1,1,1,1
TEST_00469,1,1,1,1,1,1,1,1,1,1
TEST_00470,1,1,1,1,1,1,1,1,1,1
TEST_00471,1,1,1,1,1,1,1,1,1,1
TEST_00472,1,1,1,1,1,1,1,1,1,1
TEST_00473,1,1,1,1,1,1,1,1,1,1
TEST_00474,1,1,1,1,1,1,1,1,1,1
TEST_00475,1,1,1,1,1,1,1,1,1,1
TEST_00476,1,1,1,1,1,1,1,1,1,1
TEST_00477,1,1,1,1,1,1,1,1,1,1
TEST_00478,1,1,1,1,1,1,1,1,1,1
TEST_00479,1,1,1,1,1,1,1,1,1,1
TEST_00480,1,1,1,1,1,1,1,1,1,1
TEST_00481,1,1,1,1,1,1,1,1,1,1
TEST_00482,1,1,1,1,1,1,1,1,1,1
TEST_00483,1,1,1,1,1,1,1,1,1,1
TEST_00484,1,1,1,1,1,1,1,1,1,1
TEST_00485,1,1,1,1,1,1,1,1,1,1
TEST_00486,1,1,1,1,1,1,1,1,1,1
TEST_00487,1,1,1,1,1,1,1,1,1,1
TEST_00488,1,1,1,1,1,1,1,1,1,1
TEST_00489,1,1,1,1,1,1,1,1,1,1
TEST_00490,1,1,1,1,1,1,1,1,1,1
TEST_00491,1,1,1,1,1,1,1,1,1,1
TEST_00492,1,1,1,1,1,1,1,1,1,1
TEST_00493,1,1,1,1,1,1,1,1,1,1
TEST_00494,1,1,1,1,1,1,1,1,1,1
TEST_00495,1,1,1,1,1,1,1,1,1,1
TEST_00496,1,1,1,1,1,1,1,1,1,1
TEST_00497,1,1,1,1,1,1,1,1,1,1
TEST_00498,1,1,1,1,1,1,1,1,1,1
TEST_00499,1,1,1,1,1,1,1,1,1,1
TEST_00500,1,1,1,1,1,1,1,1,1,1
TEST_00501,1,1,1,1,1,1,1,1,1,1
TEST_00502,1,1,1,1,1,1,1,1,1,1
TEST_00503,1,1,1,1,1,1,1,1,1,1
TEST_00504,1,1,1,1,1,1,1,1,1,1
TEST_00505,1,1,1,1,1,1,1,1,1,1
TEST_00506,1,1,1,1,1,1,1,1,1,1
TEST_00507,1,1,1,1,1,1,1,1,1,1
TEST_00508,1,1,1,1,1,1,1,1,1,1
TEST_00509,1,1,1,1,1,1,1,1,1,1
TEST_00510,1,1,1,1,1,1,1,1,1,1
TEST_00511,1,1,1,1,1,1,1,1,1,1
TEST_00512,1,1,1,1,1,1,1,1,1,1
TEST_00513,1,1,1,1,1,1,1,1,1,1
TEST_00514,1,1,1,1,1,1,1,1,1,1
TEST_00515,1,1,1,1,1,1,1,1,1,1
